timestamp,scenario,origin_pods,cache_pods,origin_cpu_mcores,cache_cpu_mcores,origin_mem_MiB,cache_mem_MiB,throughput_rps,cache_hit_ratio,current_replicas
2025-12-28T22:16:07.684613,S3,1,1,0.0,19.0,4.0,8.0,0.0,0.0,2
2025-12-28T22:16:18.021346,S3,1,1,0.0,19.0,4.0,8.0,0.0,0.0,2
2025-12-28T22:16:28.376752,S3,1,1,0.0,19.0,4.0,8.0,0.0,0.0,2
2025-12-28T22:16:38.726776,S3,1,1,0.0,19.0,4.0,8.0,0.0,0.0,2
2025-12-28T22:16:49.094082,S3,1,1,0.0,19.0,4.0,8.0,0.0,0.0,2
2025-12-28T22:16:59.434249,S3,1,1,0.0,21.0,4.0,8.0,0.0,0.0,2
2025-12-28T22:17:09.780762,S3,1,1,0.0,21.0,4.0,8.0,0.0,0.0,2
2025-12-28T22:17:20.108701,S3,1,1,0.0,21.0,4.0,8.0,0.0,0.0,2
2025-12-28T22:17:30.439988,S3,1,1,0.0,21.0,4.0,8.0,0.0,0.0,2
2025-12-28T22:17:40.762765,S3,1,1,0.0,21.0,4.0,8.0,0.0,0.0,2
2025-12-28T22:17:51.107992,S3,1,1,0.0,21.0,4.0,8.0,0.0,0.0,2
2025-12-28T22:18:01.453146,S3,1,1,0.0,21.0,4.0,8.0,0.0,0.0,2
2025-12-28T22:18:11.793347,S3,1,1,0.0,21.0,4.0,8.0,0.0,0.0,2
2025-12-28T22:18:22.141606,S3,1,1,0.0,21.0,4.0,8.0,0.0,0.0,2
2025-12-28T22:18:32.472761,S3,1,1,0.0,21.0,4.0,8.0,0.0,0.0,2
2025-12-28T22:18:42.835774,S3,1,1,0.0,21.0,4.0,8.0,0.0,0.0,2
2025-12-28T22:18:53.181923,S3,1,1,0.0,21.0,4.0,8.0,0.0,0.0,2
2025-12-28T22:19:03.520006,S3,1,1,0.0,23.0,4.0,9.0,0.0,0.0,2
2025-12-28T22:19:13.876645,S3,1,2,0.0,23.0,4.0,9.0,0.0,0.0,3
2025-12-28T22:19:24.238556,S3,1,2,0.0,23.0,4.0,9.0,0.0,0.0,3
2025-12-28T22:19:34.569553,S3,1,2,0.0,23.0,4.0,9.0,0.0,0.0,3
2025-12-28T22:19:44.939436,S3,1,2,0.0,23.0,4.0,9.0,0.0,0.0,3
2025-12-28T22:19:55.268078,S3,1,2,0.0,23.0,4.0,9.0,0.0,0.0,3
2025-12-28T22:20:05.599922,S3,1,2,1.0,32.0,4.0,14.0,0.0,0.0,3
2025-12-28T22:20:15.967902,S3,1,2,1.0,32.0,4.0,14.0,0.0,0.0,3
2025-12-28T22:20:26.307615,S3,1,2,1.0,32.0,4.0,14.0,0.0,0.0,3
2025-12-28T22:20:36.658115,S3,1,2,1.0,32.0,4.0,14.0,0.0,0.0,3
2025-12-28T22:20:47.010617,S3,1,2,1.0,32.0,4.0,14.0,0.0,0.0,3
2025-12-28T22:20:57.355722,S3,1,2,1.0,32.0,4.0,14.0,0.0,0.0,3
2025-12-28T22:21:07.697951,S3,1,2,3.0,34.0,4.0,14.0,0.0,0.0,3
2025-12-28T22:21:18.032806,S3,1,2,3.0,34.0,4.0,14.0,0.0,0.0,3
2025-12-28T22:21:28.369723,S3,1,2,3.0,34.0,4.0,14.0,0.0,0.0,3
2025-12-28T22:21:38.704668,S3,1,2,3.0,34.0,4.0,14.0,0.0,0.0,3
2025-12-28T22:21:49.066581,S3,1,2,3.0,34.0,4.0,14.0,0.0,0.0,3
2025-12-28T22:21:59.410427,S3,1,2,3.0,34.0,4.0,14.0,0.0,0.0,3
2025-12-28T22:22:09.757303,S3,1,2,1.0,28.0,4.0,15.0,0.0,0.0,3
2025-12-28T22:22:20.099687,S3,1,2,1.0,28.0,4.0,15.0,0.0,0.0,3
2025-12-28T22:22:30.442562,S3,1,2,1.0,28.0,4.0,15.0,0.0,0.0,3
2025-12-28T22:22:40.780343,S3,1,2,1.0,28.0,4.0,15.0,0.0,0.0,3
2025-12-28T22:22:51.120868,S3,1,2,1.0,28.0,4.0,15.0,0.0,0.0,3
2025-12-28T22:23:01.457584,S3,1,2,1.0,28.0,4.0,16.0,0.0,0.0,3
2025-12-28T22:23:11.779788,S3,1,2,1.0,28.0,4.0,16.0,0.0,0.0,3
2025-12-28T22:23:22.125983,S3,1,2,1.0,28.0,4.0,16.0,0.0,0.0,3
2025-12-28T22:23:32.458670,S3,1,2,1.0,28.0,4.0,16.0,0.0,0.0,3
2025-12-28T22:23:42.791928,S3,1,2,1.0,28.0,4.0,16.0,0.0,0.0,3
2025-12-28T22:23:53.140262,S3,1,2,1.0,28.0,4.0,16.0,0.0,0.0,3
2025-12-28T22:24:03.482058,S3,1,2,1.0,27.0,4.0,17.0,0.0,0.0,3
2025-12-28T22:24:13.812898,S3,1,2,1.0,27.0,4.0,17.0,0.0,0.0,3
2025-12-28T22:24:24.161199,S3,1,2,1.0,27.0,4.0,17.0,0.0,0.0,3
2025-12-28T22:24:34.495508,S3,1,2,1.0,27.0,4.0,17.0,0.0,0.0,3
2025-12-28T22:24:44.866232,S3,1,2,1.0,27.0,4.0,17.0,0.0,0.0,3
2025-12-28T22:24:55.200806,S3,1,2,1.0,27.0,4.0,17.0,0.0,0.0,3
2025-12-28T22:25:05.542458,S3,1,2,1.0,32.0,4.0,16.0,0.0,0.0,3
2025-12-28T22:25:15.897041,S3,1,2,1.0,32.0,4.0,16.0,0.0,0.0,3
2025-12-28T22:25:26.241239,S3,1,2,1.0,32.0,4.0,16.0,0.0,0.0,3
2025-12-28T22:25:36.602575,S3,1,2,1.0,32.0,4.0,16.0,0.0,0.0,3
2025-12-28T22:25:46.965556,S3,1,2,1.0,32.0,4.0,16.0,0.0,0.0,3
2025-12-28T22:25:57.358664,S3,1,2,1.0,32.0,4.0,16.0,0.0,0.0,3
2025-12-28T22:26:07.700384,S3,1,2,1.0,31.0,4.0,17.0,0.0,0.0,3
2025-12-28T22:26:18.060230,S3,1,2,1.0,31.0,4.0,17.0,0.0,0.0,3
2025-12-28T22:26:28.410545,S3,1,2,1.0,31.0,4.0,17.0,0.0,0.0,3
2025-12-28T22:26:38.785822,S3,1,2,1.0,31.0,4.0,17.0,0.0,0.0,3
2025-12-28T22:26:49.219425,S3,1,2,1.0,31.0,4.0,17.0,0.0,0.0,3
2025-12-28T22:26:59.605877,S3,1,2,0.0,35.0,4.0,16.0,0.0,0.0,3
2025-12-28T22:27:09.968788,S3,1,2,0.0,35.0,4.0,16.0,0.0,0.0,3
2025-12-28T22:27:20.347668,S3,1,2,0.0,35.0,4.0,16.0,0.0,0.0,3
2025-12-28T22:27:30.683958,S3,1,2,0.0,35.0,4.0,16.0,0.0,0.0,3
2025-12-28T22:27:41.042938,S3,1,2,0.0,35.0,4.0,16.0,0.0,0.0,3
2025-12-28T22:27:51.400364,S3,1,2,0.0,35.0,4.0,16.0,0.0,0.0,3
2025-12-28T22:28:01.753636,S3,1,2,0.0,37.0,4.0,18.0,0.0,0.0,3
2025-12-28T22:28:12.124211,S3,1,2,0.0,37.0,4.0,18.0,0.0,0.0,3
2025-12-28T22:28:22.503745,S3,1,2,0.0,37.0,4.0,18.0,0.0,0.0,3
2025-12-28T22:28:32.859493,S3,1,2,0.0,37.0,4.0,18.0,0.0,0.0,3
2025-12-28T22:28:43.221027,S3,1,2,0.0,37.0,4.0,18.0,0.0,0.0,3
2025-12-28T22:28:53.561732,S3,1,2,0.0,37.0,4.0,18.0,0.0,0.0,3
2025-12-28T22:29:03.904485,S3,1,2,0.0,39.0,4.0,16.0,0.0,0.0,3
2025-12-28T22:29:14.257618,S3,1,2,0.0,39.0,4.0,16.0,0.0,0.0,3
2025-12-28T22:29:24.617688,S3,1,2,0.0,39.0,4.0,16.0,0.0,0.0,3
2025-12-28T22:29:34.956822,S3,1,2,0.0,39.0,4.0,16.0,0.0,0.0,3
2025-12-28T22:29:45.309835,S3,1,2,0.0,39.0,4.0,16.0,0.0,0.0,3
2025-12-28T22:29:55.662758,S3,1,2,0.0,39.0,4.0,16.0,0.0,0.0,3
2025-12-28T22:30:06.026002,S3,1,2,0.0,37.0,4.0,16.0,0.0,0.0,3
2025-12-28T22:30:16.370222,S3,1,2,0.0,37.0,4.0,16.0,0.0,0.0,3
2025-12-28T22:30:26.719214,S3,1,2,0.0,37.0,4.0,16.0,0.0,0.0,3
2025-12-28T22:30:37.081175,S3,1,2,0.0,37.0,4.0,16.0,0.0,0.0,3
2025-12-28T22:30:47.409154,S3,1,2,0.0,37.0,4.0,16.0,0.0,0.0,3
2025-12-28T22:30:57.794887,S3,1,2,0.0,37.0,4.0,16.0,0.0,0.0,3
2025-12-28T22:31:08.158009,S3,1,2,0.0,36.0,4.0,18.0,0.0,0.0,3
2025-12-28T22:31:18.501622,S3,1,2,0.0,36.0,4.0,18.0,0.0,0.0,3
2025-12-28T22:31:28.854709,S3,1,2,0.0,36.0,4.0,18.0,0.0,0.0,3
2025-12-28T22:31:39.225395,S3,1,2,0.0,36.0,4.0,18.0,0.0,0.0,3
2025-12-28T22:31:49.561874,S3,1,2,0.0,36.0,4.0,18.0,0.0,0.0,3
2025-12-28T22:31:59.915675,S3,1,2,0.0,40.0,4.0,17.0,0.0,0.0,3
2025-12-28T22:32:10.273108,S3,1,2,0.0,40.0,4.0,17.0,0.0,0.0,3
2025-12-28T22:32:20.616815,S3,1,2,0.0,40.0,4.0,17.0,0.0,0.0,3
2025-12-28T22:32:30.958361,S3,1,2,0.0,40.0,4.0,17.0,0.0,0.0,3
2025-12-28T22:32:41.310377,S3,1,2,0.0,40.0,4.0,17.0,0.0,0.0,3
2025-12-28T22:32:51.670186,S3,1,2,0.0,40.0,4.0,17.0,0.0,0.0,3
2025-12-28T22:33:02.024197,S3,1,2,0.0,42.0,4.0,18.0,0.0,0.0,3
2025-12-28T22:33:12.400800,S3,1,2,0.0,42.0,4.0,18.0,0.0,0.0,3
2025-12-28T22:33:22.757156,S3,1,2,0.0,42.0,4.0,18.0,0.0,0.0,3
2025-12-28T22:33:33.142826,S3,1,2,0.0,42.0,4.0,18.0,0.0,0.0,3
2025-12-28T22:33:43.501778,S3,1,2,0.0,42.0,4.0,18.0,0.0,0.0,3
2025-12-28T22:33:53.850991,S3,1,2,0.0,42.0,4.0,18.0,0.0,0.0,3
